book_id, book_link
143, https://www.amazon.ca/Wuthering-Heights-Emily-Bronte/dp/0451531795/
388, https://www.amazon.ca/House-Hades-Heroes-Olympus-cover/dp/1368051715/
145, https://www.amazon.ca/Subtle-Knife-His-Dark-Materials/dp/0679879250/
146, https://www.amazon.ca/Kill-Mockingbird-Harper-Lee/dp/0446310786/
148, https://www.amazon.ca/Goodnight-Mister-Tom-Michelle-Magorian/dp/0141354801/
151, https://www.amazon.ca/Don-Quixote-Miguel-Cervantes/dp/0060188707/
152, https://www.amazon.ca/Rebecca-Daphne-du-Maurier/dp/0349010269/
160, https://www.amazon.ca/Calculus-Know-ALL-Beginner-Everything/dp/0071549315/
149, https://www.amazon.ca/John-Cleland-Fanny-Hill/dp/1535289635/
85, https://www.amazon.ca/Calculus-Transcendentals-WebAssign-Printed-Multi-Term/dp/1111426686/
153, https://www.amazon.ca/Introduction-Statistical-Learning-Applications/dp/1461471370/
154, https://www.amazon.ca/Eoin-Colfer-Artemis-Fowl-Graphic/dp/1368043143/
155, https://www.amazon.ca/Thorn-Birds-Novel-Colleen-McCullough/dp/0061990477/
156, https://www.amazon.ca/Moonstone-Wilkie-Collins/dp/0486424510/
157, https://www.amazon.ca/Moby-Dick-Herman-Melville/dp/1503280780/
159, https://www.amazon.ca/Big-Bang-Theory-Where-Works/dp/0471394521/
163, https://www.amazon.ca/Lord-Flies-Sir-William-Golding/dp/0780776828/
165, https://www.amazon.ca/Scarlet-Letter-Nathaniel-Hawthorne/dp/0007218494/
167, https://www.amazon.ca/Great-Expectations-Charles-Dickens/dp/0486415864/
168, https://www.amazon.ca/Sun-Also-Rises-Ernest-Hemingway/dp/0743297334/
170, https://www.amazon.ca/Green-Hills-Africa-Ernest-Hemingway/dp/0684801299/
162, https://www.amazon.ca/Animal-Farm-Centennial-George-Orwell/dp/0452284244/
169, https://www.amazon.ca/Midnights-Children-Novel-Salman-Rushdie/dp/0676970656/
164, https://www.amazon.ca/Holt-McDougal-Library-School-Connections/dp/0030565073/
166, https://www.amazon.ca/Colour-Magic-Terry-Pratchett/dp/0552124753/
171, https://www.amazon.ca/Catcher-Rye-J-D-Salinger/dp/0316769487/
175, https://www.amazon.ca/Dubliners-James-Joyce/dp/1509826629/
202, https://www.amazon.ca/Harry-Potter-Chamber-Secrets-Rowling/dp/1408855666/
207, https://www.amazon.ca/George-Martins-Thrones-Leather-Cloth-Boxed/dp/1101965487/
176, https://www.amazon.ca/Town-Like-Alice-Nevil-Shute/dp/1509834818/
177, https://www.amazon.ca/Count-Monte-Cristo-Alexandre-Dumas/dp/0307271129/
178, https://www.amazon.ca/Jungle-Upton-Sinclair/dp/1945644060/
179, https://www.amazon.ca/Heidi-Johanna-Spyri/dp/0147514029/
180, https://www.amazon.ca/Hundred-Solitude-Gabriel-Garcia-Marquez/dp/0060883286/
182, https://www.amazon.ca/Mice-Men-John-Steinbeck/dp/0140177396/
183, https://www.amazon.ca/Love-Cholera-Gabriel-Garc-M-rquez/dp/0307388816/
184, https://www.amazon.ca/Treasure-Island-Robert-Louis-Stevenson/dp/0486275590/
181, https://www.amazon.ca/Middlemarch-Barnes-Noble-Classics-George/dp/1593080239/
187, https://www.amazon.ca/Fundamentals-Solar-Astronomy-Arvind-Bhatnagar/dp/9812563571/
200, https://www.amazon.ca/Quantum-Mechanics-Scientists-Engineers-Miller/dp/0521897831/
201, https://www.amazon.ca/Introduction-Mathematical-Physics-Michael-Vaughn/dp/3527406271/
196, https://www.amazon.ca/Fantastic-Beasts-Where-Find-Them/dp/1338109065/
199, https://www.amazon.ca/Reassessing-John-Buchan-Beyond-Thirty/dp/1851969985/
204, https://www.amazon.ca/How-Think-Like-Mathematician-Undergraduate/dp/0521895464/
22, https://www.amazon.ca/Hamlet-William-Shakespeare/dp/0486272788/
219, https://www.amazon.ca/Platos-Apology-Socrates-Crito-Phaedo/dp/1295322730/
203, https://www.amazon.ca/COMPLETE-SHERLOCK-Sherlock-Complete-Collection/dp/1500135488/
205, https://www.amazon.ca/Storm-Swords-George-R-Martin/dp/0606267255/
206, https://www.amazon.ca/Clash-Kings-George-R-Martin/dp/0606267247/
220, https://www.amazon.ca/Plato-Apology-Socrates-Xenophon/dp/0521145821/
221, https://www.amazon.ca/Voyage-Dawn-Treader-C-Lewis/dp/0064405028/
229, https://www.amazon.ca/Platos-Apology-Socrates-Crito-Phaedo/dp/1295322730/
230, https://www.amazon.ca/Plato-Apology-Socrates-Xenophon/dp/0521145821/
236, https://www.amazon.ca/Vulkan-Lord-Drakes-David-Annandale/dp/1784967769/
389, https://www.amazon.ca/Heroes-Olympus-Book-Five-Blood/dp/1423146735/
69, https://www.amazon.ca/Prince-Caspian-C-S-Lewis/dp/0060234830/
238, https://www.amazon.ca/Deathfire-Nick-Kyme/dp/1784961558/
95, https://www.amazon.ca/Tess-dUrbervilles-Woman-Thomas-Hardy/dp/1723391115/
244, https://www.amazon.ca/Twenty-Thousand-Leagues-under-Seas/dp/0198818645/
245, https://www.amazon.ca/Tales-Heresy-Lindsey-Priestley/dp/1849708096/
92, https://www.amazon.ca/Proceedings-International-Conference-Computation-Differential/dp/9810213395/
351, https://www.amazon.ca/Percy-Jackson-Olympians-Battle-Labyrinth/dp/1484786394/
260, https://www.amazon.ca/Horus-Heresy-Damnation-David-Annandale/dp/1849708428/
250, https://www.amazon.ca/Harry-Potter-Order-Phoenix-Rowling/dp/1408855933/
112, https://www.amazon.ca/Harry-Potter-Prisoner-Azkaban-Rowling/dp/1408865416/
257, https://www.amazon.ca/Harry-Potter-Sorcerers-Stone-Korean/dp/8983925310/
122, https://www.amazon.ca/Differential-Equations-Dummies-Steven-Holzner/dp/0470178140/
127, https://www.amazon.ca/Evolved-Win-Moshe-Sipper/dp/1470972832/
