authors,title
Arthur Conan Doyle,Tales of Terror and Mystery
Kevin Houston,How to Think Like a Mathematician: A Companion to Undergraduate Mathematics
George R. R. Martin,A Storm of Swords
George R. R. Martin,A Clash of Kings
George R. R. Martin,A Game of Thrones
Garth Nix,The Violet Keystone
Garth Nix,Into Battle
Garth Nix,Above the Veil
Garth Nix,Aenir
Garth Nix,Castle
Garth Nix,The Fall
C. S. Lewis,The Last Battle
C. S. Lewis,The Silver Chair
edited by Christian Dunn,The Primarchs
Dan Abnett,Know No Fear
"Ellison, Carol",McGraw-Hill's Concise Guide to Writing Research Papers
Frederick Mosteller,Fifty Challenging Problems in Probability With Solutions
Problem Solutions,Introduction to Probability
Madeleine L'Engle,A Wrinkle in Time
Madeleine L’Engle,A Wind in the Door
Orson Scott Card,Ender's Game
Orson Scott Card,Ender's Shadow
Madeleine L'Engle,An Acceptable Time
Madeleine L’Engle,A Swiftly Tilting Planet
Madeleine L’Engle,Many Waters
"Nietzsche, Friedrich Wilhelm","We Philologists / Complete Works of Friedrich Nietzsche, Volume 8"
"Nietzsche, Friedrich Wilhelm",Thus Spake Zarathustra
"Nietzsche, Friedrich Wilhelm","Thoughts out of Season, part 1"
"Nietzsche, Friedrich Wilhelm",On the Future of our Educational Institutions
"Nietzsche, Friedrich Wilhelm",Homer and Classical Philology
"Nietzsche, Friedrich Wilhelm",The Antichrist
"Mill, John Stuart",A System of Logic: Ratiocinative and Inductive: Vol. I
"Mill, John Stuart",Auguste Comte and Positivism
"Mill, John Stuart",Autobiography
"Descartes, Rene",Discourse on the Method of Reasoning
"Hobbes, Thomas",Leviathan
"Russell, Bertrand",Proposed Roads to Freedom
"Stephen, Leslie","The English Utilitarians, Volume II"
"Machiavelli, Nicolo",The Prince
"Descartes, Rene",The Principles of Philosophy
"Russell, Bertrand",The Problems of Philosophy
Ludwig Wittgenstein,Tractatus Logico-Philosophicus
"Mill, John Stuart",A System of Logic: Ratiocinative and Inductive: Vol. II
Lois Lowry,Gathering Blue
Lois Lowry,Messenger
Lois Lowry,The Giver
James Swallow, Fear to Tread
Orson Scott Card,Xenocide
Orson Scott Card,Children of the Mind
Orson Scott Card,Speaker for the Dead
David G. Myers,By David G. Myers - Psychology in Modules: 9th
Miek Gieben,Learning Go
"Machiavelli, Niccolo",The Art of War
"Riordan, Rick",The Lightning Thief
"Riordan, Rick",The Sea of Monsters
"Riordan, Rick",The Titan's Curse
"Riordan, Rick",The Last Olympian
"Riordan, Rick",The Battle of the Labyrinth
Paul Thagard,Mind: Introduction to Cognitive Science
Greg Bear,Silentium
Orson Scott Card,Mither Mages 1 - The Gate Thief
Chuck Palahniuk,Rant: An Oral Biography of Buster Casey
Chuck Palahniuk,Pygmy
Orson Scott Card,Pathfinder
Orson Scott Card,Ruins (Pathfinder Trilogy)
Rick Riordan,The Lost Hero
Rick Riordan,The Demigod Diaries
Rick Riordan,The Mark of Athena
Rick Riordan,The Son of Neptune
Edgar Rice Burroughs,A Princess of Mars
Joe Hill,NOS4A2
Aaron Dembski-Bowden,Betrayer: Blood for the Blood God
Edited by Laurie Goulding,Mark of Calth
Nick Kyme,Vulkan Lives
William Corey Dietz,Halo 02: The Flood
Greg Bear,Cryptum
Greg Bear,Primordium
Joseph Conrad,Heart of Darkness
H. G. Wells,The Invisible Man
H. G. Wells,The Island of Dr. Moreau
H. G. Wells,The Time Machine
H. G. Wells,The War of the Worlds
Graham McNeill, Angel Exterminatus
"Valiant, Leslie",Probably Approximately Correct
Tim Lebbon,Into the Void: Star Wars (Dawn of the Jedi)
"Nylund, Eric",The Fall of Reach
"Nylund, Eric",First Strike
Friedrich Nietzsche,Beyond Good and Evil
"Nylund, Eric",Ghosts of Onyx
"Staten, Joseph",Contact Harvest
"Buckell, Tobias S.",The Cole Protocol
"Gaiman, Neil",American Gods
Karen Traviss,Glasslands
James Dashner,The Maze Runner
James Dashner,The Scorch Trials
James Dashner,The Death Cure
Karen Traviss,The Thursday War
"Traviss, Karen",Mortal Dictata
Rick Riordan,The House of Hades
Rick Riordan,The Blood of Olympus
Orson Scott Card,Visitors
Orson Scott Card,Enchantment
Rob Thomas and Jennifer Graham,Veronica Mars 1: The Thousand-Dollar Tan Line
Richard Herman,Iron Gate
Stephen King,Mr. Mercedes
Nicci French,Land of the Living
Dan Abnett,Eisenhorn Omnibus
Nick Kyme and Lindsey Priestley,Heroes of the Space Marines
Nick Kyme,Assault on Black Reach: The Novel
Neil Jones and David Pringle,Deathwing
Marc Gascoigne and Christian Dunn,Let The Galaxy Burn
Ian Watson,The Inquisition War
Dan Abnett,Ravenor Omnibus
Ian Watson,Space Marine
Graham McNeill,The Ultramarines Omnibus
Gav Thorpe,Space Hulk: The Novel
Robertson Davies,Fifth Business
Robertson Davies,The Manticore
Robertson Davies,World of Wonders
Frederik Steinmetz,The Cycles Encyclopedia 1.2
J. K. Rowling,Harry Potter 07 and the Deathly Hallows
Michael Crichton,Jurassic Park: A Novel
Michael Crichton,The Lost World
Michael Crichton,Airframe
Michael Crichton,Congo
Michael Crichton,Disclosure: A Novel
Michael Crichton,Eaters of the Dead
Michael Crichton,Rising Sun: A Novel
Michael Crichton,Sphere
Michael Crichton,Terminal Man
Michael Crichton,The Andromeda Strain
Michael Crichton,The Great Train Robbery
Rick Riordan,Percy Jackson 04 - The Battle of the Labyrinth
"Card, Orson Scott",Seventh Son
"Snicket, Lemony",The Bad Beginning
"Palahniuk, Chuck",Choke
"Ludlum, Robert",The Hades Factor
"Gaiman, Neil",Coraline
"King, Stephen",The Gunslinger
"Hobb, Robin",Assassin's Apprentice
"Asimov, Isaac",Foundation
"Clancy, Tom",Without Remorse
"Gould, Steven",Jumper
"Tolkien, J.R.R.",The Hobbit
"Tolkien, J.R.R.",The Lord of the Rings 1 - The Fellowship of the Ring
"Hawking, Stephen",The Theory of Everything: The Origin and Fate of the Universe
Orson Scott card,Red Prophet
Orson Scott card,Prentice Alvin
Orson Scott card,The Crystal City
Orson Scott card,Heart Fire
Orson Scott Card,Journeyman
"Gaiman, Neil",Stardust
"Gould, Steven",Reflex
"Gould, Steven",Griffin's Story
Tom Clancy,Jack Ryan Books 1-6
Andy Weir,The Martian
John Scalzi,Redshirts
"Tsonev, Krasimir",Node.js By Example
Ann Leckie,Ancillary Mercy
Marko Kloos,Angles of Attack
Ramez Naam,Apex: Nexus Arc Book 3
Joshua Dalzelle,Black Fleet Trilogy 1: Warship
Hugh Howey,Beacon 23: The Complete Novel
Ernest Cline,Armada
"Brown, Pierce","Golden Son (The Red Rising Trilogy, Book 2)"
Paolo Bacigalupi,The Water Knife
John Ringo,Strands of Sorrow
Neal Stephenson,Seveneves: A Novel
Peter Clines,The Fold: A Novel
Kim Stanley Robinson,Aurora
John Scalzi,The End of All Things
Evan Currie,King of Thieves (Odyssey One: Star Rogue)
Joseph Fink,Welcome to Night Vale
Daniel C. Dennett,Breaking the Spell
Leo Frankowski,The Cross-Time Engineer
Michael Scott,The Warlock
Michael Scott,The Secrets of the Immortal Nicholas Flamel
"Scott, Michael",The Magician
"Scott, Michael",The Necromancer
Michael Scott,06 The Enchantress
Lev Grossman,The Magicians
"Grossman, Lev",The Magician King
Lev Grossman,The Magician’s Land
Mario Puzo,The Godfather
Michael Scott,The Magician
Michael Scott,The Sorceress
Richard Matheson,I Am Legend
de Mesquita Bueno,The Dictator's Handbook: Why Bad Behavior is Almost Always Good Politics
"Heller, Joseph",Catch-22
Michael Crichton,Timeline: A Novel
Michael Crichton & Richard Preston,Micro: A Novel
Michael Crichton,State of Fear: A Novel
Michael Crichton,Prey
Michael Crichton,Pirate Latitudes: A Novel
Michael Crichton,Next
Dave Eggers,The Circle
Lee Child,Killing Floor
Lee Child,Die Trying
Lee Child,Tripwire (1999)
Lee Child,A Wanted Man
